date,rme,re_ew,r_size,r_value,r_prof,r_valprof,r_fscore,r_debtiss,r_repurch,r_nissa,r_accruals,r_growth,r_aturnover,r_gmargins,r_divp,r_ep,r_cfp,r_noa,r_inv,r_invcap,r_igrowth,r_sgrowth,r_lev,r_roaa,r_roea,r_sp,r_gltnoa,r_mom,r_indmom,r_valmom,r_valmomprof,r_shortint,r_mom12,r_momrev,r_lrrev,r_valuem,r_nissm,r_sue,r_roe,r_rome,r_roa,r_strev,r_ivol,r_betaarb,r_season,r_indrrev,r_indrrevlv,r_indmomrev,r_ciss,r_price,r_age,r_shvol
10/1971,-0.0442,-0.053561114,0.0142740449,-0.000289113,-0.029073203,-0.032185792,0.0045134133,,,0.0223828216,0.024985189,0.013676887,-0.043639914,0.0707826827,0.0279908581,0.0082630842,0.0025894841,-0.006383023,0.0047390066,-0.003731709,0.0045379319,0.0190485618,0.0126248132,-0.015989802,0.0223635245,-0.033772275,-0.024530201,0.0040295396,0.003854938,-0.002793243,-0.009890797,,0.0106336351,0.0422278802,-0.027509473,0.0021365384,0.0237288003,,,-0.003311787,,0.020381698,-0.041411861,-0.047788951,0.0566000957,0.0165484398,0.0193650829,-0.062942869,-0.049914134,0.0076974783,0.0053408427,-0.035754792
11/1971,-0.0046,-0.016913508,0.0261950661,-0.016875227,0.0088731256,0.0001055461,0.0117499918,,,0.00566304,-0.011894286,-0.001211051,0.0055444345,0.0296932836,-0.014846988,-0.007930346,-0.008524993,0.0017767557,0.0009429826,0.0117533785,-0.018643619,0.0060523469,-0.011625233,0.0211233053,0.0217399428,-0.014938671,0.0107072798,0.0169750739,0.0095518266,0.0052377761,0.0164257313,,0.017189691,0.0264313489,0.017808705,-0.020044855,0.0064507075,,,0.0105212483,,0.0084380987,-0.012048177,-0.004227965,0.0163584917,0.0052135966,-0.012135352,0.0178168475,-0.011674217,0.0250162392,0.0093403186,-0.001475841
12/1971,0.0871,0.104379246,-0.041685513,-0.014374678,0.0170652378,0.0037689009,0.0186004766,,,0.0072886141,0.0255164075,0.0264357393,0.0064635144,0.0046724923,-0.030475718,-0.02876032,-0.015804148,-0.026400889,0.0268488935,0.0182733008,0.0289773301,0.0150973643,-0.011813165,-0.003783082,-0.011192457,0.0023226137,0.0232157176,-0.032285926,-0.027583383,-0.037711035,-0.025096759,,-0.007891496,-0.015437544,-0.007454688,-0.001198514,0.0058537493,,,-0.024288149,,-0.050998048,0.0355103843,0.0387117983,0.0370379976,-0.067030084,-0.066269383,0.0102257444,0.0406799634,-0.031417548,-0.020598891,0.0324294496
01/1972,0.0249,0.03772959,-0.06807184,0.0135836722,0.0174259971,0.0430416332,-0.020210387,,,0.0056421043,0.0030317378,0.0041283928,0.0436800101,-0.054220391,0.0100805012,-0.026120741,0.005961975,-0.029643367,0.0134912322,0.0254744419,-0.017296304,-0.004169515,0.0055910243,-0.01322399,-0.033494317,0.0356217847,0.033613823,-0.018006399,-0.004146861,-0.00346462,0.0039655769,,0.0177718993,-0.038314067,-0.043238865,0.0005868699,-0.016804083,,,-0.005167736,,0.0206715063,0.0431942176,0.0489487361,0.0348837549,0.0074179665,-0.010621301,0.0069905705,0.0398632473,-0.035674728,-0.018598314,0.0449936004
02/1972,0.0287,0.0286936303,0.0025023689,-0.046135984,0.0673952255,0.0254168416,0.0172777863,,,0.0118652432,0.0169125489,0.0094043798,0.0596353439,-0.006145414,-0.071169432,-0.034045874,-0.044931158,-0.026933907,0.0182548997,0.0155258364,0.0028917864,-0.001710485,-0.054762082,0.085051553,0.0399321646,-0.007131192,0.0085586013,0.0136639623,0.0106946681,-0.025091591,0.0279926579,,0.0364846996,0.007708734,0.045258295,-0.045487824,0.0049461655,,0.0602020242,-0.022616283,0.0520794249,-0.00849575,0.0116794361,0.0285264969,0.000358361,-0.036307694,-0.05377125,0.085693165,0.0323327936,0.0358943845,-0.027808027,0.0171556682
03/1972,0.0063,0.0060603137,-0.010771938,-0.014544525,0.0049200417,0.0022321932,-0.013070597,,,-0.0145821,0.0400186201,0.0175077599,-0.014372828,0.0524113126,-0.017793559,-0.005035765,-0.016850592,-0.030103061,0.0316414373,0.0081459238,-0.014943607,0.0157887798,-0.013459541,0.024628624,0.0210114672,-0.027012609,0.016881178,0.0087445029,-0.002996505,0.0077545738,0.0165983253,,0.0185758344,0.004330897,0.0144440097,-0.015927821,-0.001742918,,-0.0170301,-0.01978288,-0.002247017,-0.020972844,-0.00696508,-0.000641533,0.0145475771,-0.032346681,-0.030475377,0.0189062142,-0.017765367,0.0159085723,-0.032532048,-0.00444736
04/1972,0.0029,0.0026562793,-0.004691817,0.0043492288,0.0065822894,0.0186974013,0.0081996034,,,0.0049448962,0.0234066436,0.0098952037,0.0163919386,-0.024870017,-0.012426446,-0.016830762,-0.001075339,0.0029822011,0.0047881885,0.0003237946,0.0001054206,-0.011280678,0.0017459221,-0.006321156,-0.015342802,0.0187628439,-0.004437561,0.0062747756,0.0123652813,0.0116482671,0.0164043679,,0.0185574386,0.0192906683,0.004281377,-0.00716724,0.0066439454,,0.0169296463,-0.001623226,-0.023766129,-0.005956671,0.0056337604,0.0129664223,0.0438565027,-0.019426815,-0.046835216,0.0463381184,0.0011571209,0.0200953233,-0.001194456,0.0054202678
05/1972,0.0125,-0.002927947,0.0284509262,-0.04277074,0.0336940553,-0.011124708,0.0046882787,,,-0.006513035,0.0250284431,0.0353145879,0.00203358,0.0625210157,-0.050550633,-0.032985232,-0.038317477,-0.012189412,0.0513402901,0.0125698417,0.008734957,0.0411696607,-0.045879555,0.0717099348,0.0439962734,-0.046634798,0.0302610934,0.0466648296,0.0304347953,0.0144131077,0.0346485207,,0.0483996071,0.0285547592,0.0174626277,-0.051308117,0.0086178824,,0.0514835322,-0.041659261,0.0678261648,0.0194484096,-0.009023694,-0.000182526,0.0339448794,0.0291186709,0.0031701837,0.0397757795,0.002317133,0.071691771,-0.011916326,-0.010352714
06/1972,-0.0243,-0.032213791,0.0006319101,-0.025599764,0.0135900946,-0.019040977,0.0133164202,,,-0.002299205,0.0326480526,-0.000550087,-0.005750229,0.0738360948,-0.003756312,-0.004067287,-0.029274427,-0.019936427,0.0145177514,0.0070699718,-0.012070733,0.021514737,-0.031720002,0.0599375832,0.0457865701,-0.047776617,0.0192103261,0.0127381776,-0.015259606,-0.010341342,0.0000590735,,0.0171227781,-0.040691431,0.012316889,-0.02090319,-0.004035145,,0.0654391803,-0.008499947,0.0787379509,0.027946583,-0.014862127,-0.02429141,0.0550179016,0.0402839441,0.0447539593,-0.029659335,-0.029249242,0.0210436874,-0.014036434,-0.023191892
07/1972,-0.008,-0.026872744,0.034395584,0.0168676845,-0.028003645,-0.001200775,0.0121842258,-0.007430512,0.0216793567,-0.00326971,0.0052220505,-0.010068889,-0.035753364,0.0466881577,0.0220640572,0.018046472,0.0124467398,0.0187425927,-0.013505797,-0.017732349,-0.025949023,-0.009808816,0.0122619344,-0.019038878,-0.01226008,-0.013980834,-0.009824394,-0.002520991,-0.023868798,0.0050468397,0.0005315663,,0.0111525565,-0.034336119,-0.01603572,0.0124627593,-0.002958172,,0.0489401828,0.0186962279,0.0515902198,0.0145544917,-0.044904528,-0.032320156,0.0118563993,0.0156135466,0.0350164655,-0.03232764,-0.029402273,0.0256536709,0.0212293694,-0.041500377
